              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:05:31 (30/4/2012) 
DRT4 Serial Number: #3021 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   8/sec 
Time Constant: off 
Time Offset: 0.062 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0.000	  0.0	 30.6 
2	0	0	0.125	  0.0	 27.6 
3	0	0	0.250	  0.0	 30.3 
4	0	0	0.375	  0.0	 31.1 
5	0	0	0.500	  0.0	 25.8 
6	0	0	0.625	  0.0	 29.5 
7	0	0	0.750	  0.0	 23.3 
8	0	0	0.875	  0.0	 18.5 
9	0	0	1.000	  0.0	 19.7 
10	0	0	1.125	  0.0	 18.2 
11	0	0	1.250	  0.0	 15.9 
12	0	0	1.375	  0.0	 21.9 
13	0	0	1.500	  0.0	 23.0 
14	0	0	1.625	  0.0	 20.2 
15	0	0	1.750	  0.0	 15.0 
16	0	0	1.875	  0.0	 14.0 
17	0	0	2.000	  0.0	 11.5 
18	0	0	2.125	  0.0	 12.8 
19	0	0	2.250	  0.0	 12.2 
20	0	0	2.375	  0.0	 13.0 
21	0	0	2.500	  0.0	 14.2 
22	0	0	2.625	  0.0	 17.9 
23	0	0	2.750	  0.0	 15.6 
24	0	0	2.875	  0.0	 14.3 
25	0	0	3.000	  0.0	 11.9 
26	0	0	3.125	  0.0	 11.3 
27	0	0	3.250	  0.0	 10.2 
28	0	0	3.375	  0.0	 10.0 
29	0	0	3.500	  0.0	 11.0 
30	0	0	3.625	  0.0	 12.5 
31	0	0	3.750	  0.0	 14.1 
32	0	0	3.875	  0.0	 13.8 
33	0	0	4.000	  0.0	 10.5 
34	0	0	4.125	  0.0	 10.3 
35	0	0	4.250	  0.0	 10.3 
36	0	0	4.375	  0.0	 11.6 
37	0	0	4.500	  0.0	  9.6 
38	0	0	4.625	  0.0	 13.8 
39	0	0	4.750	  0.0	 16.8 
40	0	0	4.875	  0.0	 15.3 
41	0	0	5.000	  0.0	 11.6 
42	0	0	5.125	  0.0	 11.8 
43	0	0	5.250	  0.0	 10.6 
44	0	0	5.375	  0.0	 11.2 
45	0	0	5.500	  0.0	  9.7 
46	0	0	5.625	  0.0	 12.5 
47	0	0	5.750	  0.0	 14.0 
48	0	0	5.875	  0.0	 14.4 
49	0	0	6.000	  0.0	 14.4 
50	0	0	6.125	  0.0	 12.4 
51	0	0	6.250	  0.0	 11.7 
52	0	0	6.375	  0.0	 10.4 
53	0	0	6.500	  0.0	 10.7 
54	0	0	6.625	  0.0	 13.1 
55	0	0	6.750	  0.0	 14.5 
56	0	0	6.875	  0.0	 13.6 
57	0	0	7.000	  0.0	 13.2 
58	0	0	7.125	  0.0	 13.5 
59	0	0	7.250	  0.0	 12.2 
60	0	0	7.375	  0.0	 11.6 
61	0	0	7.500	  0.0	 10.4 
62	0	0	7.625	  0.0	 14.9 
63	0	0	7.750	  0.0	 18.3 
64	0	0	7.875	  0.0	 13.7 
65	0	0	8.000	  0.0	 11.7 
66	0	0	8.125	  0.0	 11.8 
67	0	0	8.250	  0.0	 12.1 
68	0	0	8.375	  0.0	 12.3 
69	0	0	8.500	  0.0	 12.2 
70	0	0	8.625	  0.0	 11.4 
71	0	0	8.750	  0.0	 12.0 
72	0	0	8.875	  0.0	 14.0 
73	0	0	9.000	  0.0	 14.6 
74	0	0	9.125	  0.0	 16.1 
75	0	0	9.250	  0.0	 14.9 
76	0	0	9.375	  0.0	 13.3 
77	0	0	9.500	  0.0	 12.0 
78	0	0	9.625	  0.0	 11.6 
79	0	0	9.750	  0.0	 10.7 
80	0	0	9.875	  0.0	 11.0 
81	0	0	10.000	  0.0	 15.3 
82	0	0	10.125	  0.0	 15.8 
83	0	0	10.250	  0.0	 16.8 
84	0	0	10.375	  0.0	 15.6 
85	0	0	10.500	  0.0	 13.8 
86	0	0	10.625	  0.0	 12.8 
87	0	0	10.750	  0.0	 11.3 
88	0	0	10.875	  0.0	 11.0 
89	0	0	11.000	  0.0	 10.8 
90	0	0	11.125	  0.0	 14.9 
91	0	0	11.250	  0.0	 16.4 
92	0	0	11.375	  0.0	 20.3 
93	0	0	11.500	  0.0	 19.6 
94	0	0	11.625	  0.0	 17.8 
95	0	0	11.750	  0.0	 14.6 
96	0	0	11.875	  0.0	 13.9 
97	0	0	12.000	  0.0	 13.3 
98	0	0	12.125	  0.0	 12.6 
99	0	0	12.250	  0.0	 15.3 
100	0	0	12.375	  0.0	 18.1 
101	0	0	12.500	  0.0	 20.5 
102	0	0	12.625	  0.0	 17.9 
103	0	0	12.750	  0.0	 15.4 
104	0	0	12.875	  0.0	 15.2 
105	0	0	13.000	  0.0	 15.1 
106	0	0	13.125	  0.0	 15.8 
107	0	0	13.250	  0.0	 22.0 
108	0	0	13.375	  0.0	 23.9 
109	0	0	13.500	  0.0	 24.3 
110	0	0	13.625	  0.0	 22.9 
111	0	0	13.750	  0.0	 22.6 
112	0	0	13.875	  0.0	 23.3 
113	0	0	14.000	  0.0	 19.3 
114	0	0	14.125	  0.0	 18.3 
115	0	0	14.250	  0.0	 21.7 
116	0	0	14.375	  0.0	 26.2 
117	0	0	14.500	  0.0	 34.3 
118	0	0	14.625	  0.0	 30.6 
119	0	0	14.750	  0.0	 26.2 
120	0	0	14.875	  0.0	 23.3 
121	0	0	15.000	  0.0	 22.3 
122	0	0	15.125	  0.0	 21.2 
123	0	0	15.250	  0.0	 23.2 
124	0	0	15.375	  0.0	 30.0 
125	0	0	15.500	  0.0	 31.8 
126	0	0	15.625	  0.0	 26.4 
127	0	0	15.750	  0.0	 23.0 
128	0	0	15.875	  0.0	 20.8 
129	0	0	16.000	  0.0	 20.1 
130	0	0	16.125	  0.0	 20.6 
131	0	0	16.250	  0.0	 25.4 
132	0	0	16.375	  0.0	 31.6 
133	0	0	16.500	  0.0	 31.6 
134	0	0	16.625	  0.0	 29.6 
135	0	0	16.750	  0.0	 28.5 
136	0	0	16.875	  0.0	 26.8 
137	0	0	17.000	  0.0	 23.7 
138	0	0	17.125	  0.0	 21.6 
139	0	0	17.250	  0.0	 22.4 
140	0	0	17.375	  0.0	 29.5 
141	0	0	17.500	  0.0	 31.3 
142	0	0	17.625	  0.0	 26.5 
143	0	0	17.750	  0.0	 26.7 
144	0	0	17.875	  0.0	 26.0 
145	0	0	18.000	  0.0	 24.2 
146	0	0	18.125	  0.0	 21.1 
147	0	0	18.250	  0.0	 19.2 
148	0	0	18.375	  0.0	 17.9 
149	0	0	18.500	  0.0	 17.8 
150	0	0	18.625	  0.0	 22.6 
151	0	0	18.750	  0.0	 25.8 
152	0	0	18.875	  0.0	 23.8 
153	0	0	19.000	  0.0	 21.6 
154	0	0	19.125	  0.0	 18.8 
155	0	0	19.250	  0.0	 16.9 
156	0	0	19.375	  0.0	 17.5 
157	0	0	19.500	  0.0	 17.8 
158	0	0	19.625	  0.0	 16.9 
159	0	0	19.750	  0.0	 21.4 
160	0	0	19.875	  0.0	 26.2 
161	0	0	20.000	  0.0	 23.7 
162	0	0	20.125	  0.0	 17.7 
163	0	0	20.250	  0.0	 16.7 
164	0	0	20.375	  0.0	 18.7 
165	0	0	20.500	  0.0	 17.7 
166	0	0	20.625	  0.0	 15.1 
167	0	0	20.750	  0.0	 15.3 
168	0	0	20.875	  0.0	 22.4 
169	0	0	21.000	  0.0	 26.1 
170	0	0	21.125	  0.0	 23.1 
171	0	0	21.250	  0.0	 21.6 
172	0	0	21.375	  0.0	 19.8 
173	0	0	21.500	  0.0	 17.8 
174	0	0	21.625	  0.0	 14.7 
175	0	0	21.750	  0.0	 12.8 
176	0	0	21.875	  0.0	 14.7 
177	0	0	22.000	  0.0	 18.0 
178	0	0	22.125	  0.0	 19.0 
179	0	0	22.250	  0.0	 18.5 
180	0	0	22.375	  0.0	 16.2 
